Name                                                    Stmts   Miss  Cover
tests/unit/test_knowledge_graph_reload.py                  30      0   100%
tests/unit/test_knowledge_graph_scoring.py                 36      0   100%
tests/unit/test_knowledge_graph_search_extra.py            32      0   100%
tests/unit/test_knowledge_graph_search_features.py         23      6    74%
tests/unit/test_knowledge_graph_similarity.py              31      1    97%
tests/unit/test_knowledge_graph_similarity_extra.py        23      0   100%
tests/unit/test_knowledge_graph_spectral.py                15      0   100%
tests/unit/test_knowledge_graph_text.py                    52      0   100%
tests/unit/test_knowledge_graph_watcher_idempotent.py      31      0   100%
tests/unit/test_knowledge_graph_watchers.py                45      0   100%
tests/unit/test_llm_client.py                              44      1    98%
tests/unit/test_llm_processing.py                          83      0   100%
tests/unit/test_llm_service.py                             41     12    71%
tests/unit/test_mapper.py                                 102     98     4%
tests/unit/test_metrics.py                                 29      0   100%
tests/unit/test_modality.py                                17      0   100%
tests/unit/test_models_init.py                             11      0   100%
tests/unit/test_models_qa.py                                8      0   100%
tests/unit/test_monitoring.py                              58      0   100%
tests/unit/test_multiview.py                               94      0   100%
tests/unit/test_neo4j_breaker.py                           16     14    12%
tests/unit/test_parsers.py                                 50      1    98%
tests/unit/test_pdf_parser.py                              46      0   100%
tests/unit/test_pipelines.py                              107      5    95%
tests/unit/test_poincare_recentering.py                    39      0   100%
tests/unit/test_ppt_parser.py                              27      0   100%
tests/unit/test_privacy.py                                 11      0   100%
tests/unit/test_progress.py                                38      0   100%
tests/unit/test_qagenerator_basic.py                       30      1    97%
tests/unit/test_rate_limit.py                              48      0   100%
tests/unit/test_redis_helpers.py                            7      0   100%
tests/unit/test_redis_pid.py                               93     69    26%
tests/unit/test_retrieval.py                              166      0   100%
tests/unit/test_retrieval_basic.py                         54      6    89%
tests/unit/test_retrieval_neighbors.py                     38      0   100%
tests/unit/test_rollback.py                                31      0   100%
tests/unit/test_runners.py                                 50      0   100%
tests/unit/test_save_as.py                                 53      0   100%
tests/unit/test_self_instruct.py                           59     54     8%
tests/unit/test_services.py                                60     57     5%
tests/unit/test_sheaf.py                                   77      0   100%
tests/unit/test_storage.py                                 24     21    12%
tests/unit/test_symmetry.py                                18      0   100%
tests/unit/test_tasks.py                                   23     22     4%
tests/unit/test_telemetry.py                               91      0   100%
tests/unit/test_template_library.py                        15     13    13%
tests/unit/test_tenant_privacy.py                          48     45     6%
tests/unit/test_text.py                                    90      0   100%
tests/unit/test_tool_generator_extra.py                    37      6    84%
tests/unit/test_toolformer.py                              27      0   100%
tests/unit/test_txt_parser.py                               8      0   100%
tests/unit/test_utils_init.py                              15      0   100%
tests/unit/test_utils_init_extra.py                        35      0   100%
tests/unit/test_vector_router.py                           29     24    17%
tests/unit/test_vqa_generator_extra.py                     98     91     7%
tests/unit/test_whisper_batch.py                           58      0   100%
tests/unit/test_whisper_youtube_parsers.py                 42      0   100%
---------------------------------------------------------------------------
TOTAL                                                   15257   2463    84%

2 empty files skipped.
